cell_type,gene_id
Epidermis,Solyc09g008650
Epidermis,Solyc09g009100
Epidermis,Solyc09g009280
Epidermis,Solyc09g009340
Epidermis,Solyc09g009450
Epidermis,Solyc09g009610
Epidermis,Solyc09g009910
Epidermis,Solyc09g010320
Epidermis,Solyc09g010562
Epidermis,Solyc09g010566
Epidermis,Solyc09g010720
Epidermis,Solyc09g010870
Epidermis,Solyc09g011090
Epidermis,Solyc09g011160
Epidermis,Solyc09g011250
Epidermis,Solyc09g014210
Epidermis,Solyc09g014530
Epidermis,Solyc09g014720
Epidermis,Solyc09g014730
Epidermis,Solyc09g015360
Epidermis,Solyc09g015470
Epidermis,Solyc09g015700
Epidermis,Solyc09g016950
Epidermis,Solyc09g018180
Epidermis,Solyc09g018690
Epidermis,Solyc09g018840
Epidermis,Solyc09g020010
Epidermis,Solyc09g042785
Epidermis,Solyc09g031790
Epidermis,Solyc09g055550
Epidermis,Solyc09g056100
Epidermis,Solyc09g056130
Epidermis,Solyc09g056135
Epidermis,Solyc09g056200
Epidermis,Solyc09g059140
Epidermis,Solyc09g061340
Epidermis,Solyc09g065690
Epidermis,Solyc09g065790
Epidermis,Solyc09g066310
Epidermis,Solyc09g066495
Epidermis,Solyc09g025220
Epidermis,Solyc09g025230
Epidermis,Solyc09g072710
Epidermis,Solyc09g074360
Epidermis,Solyc09g074970
Epidermis,Solyc09g075410
Epidermis,Solyc09g075760
Epidermis,Solyc09g075790
Epidermis,Solyc09g075870
Epidermis,Solyc09g075960
Epidermis,Solyc09g082180
Epidermis,Solyc09g083200
Epidermis,Solyc09g084450
Epidermis,Solyc09g090220
Epidermis,Solyc09g091460
Epidermis,Solyc09g092090
Epidermis,Solyc09g092420
Epidermis,Solyc10g005000
Epidermis,Solyc10g005340
Epidermis,Solyc10g005350
Epidermis,Solyc10g005380
Epidermis,Solyc10g005610
Epidermis,Solyc10g005840
Epidermis,Solyc10g006190
Epidermis,Solyc10g006710
Epidermis,Solyc10g006730
Epidermis,Solyc10g007280
Epidermis,Solyc10g007660
Epidermis,Solyc10g008030
Epidermis,Solyc10g008240
Epidermis,Solyc10g008830
Epidermis,Solyc10g009050
Epidermis,Solyc10g009060
Epidermis,Solyc10g009570
Epidermis,Solyc10g018850
Epidermis,Solyc10g061950
Epidermis,Solyc10g044915
Epidermis,Solyc10g045270
Epidermis,Solyc10g047643
Epidermis,Solyc10g049590
Epidermis,Solyc10g050735
Epidermis,Solyc10g054660
Epidermis,Solyc10g055190
Epidermis,Solyc10g074820
Epidermis,Solyc10g074990
Epidermis,Solyc10g076270
Epidermis,Solyc10g076530
Epidermis,Solyc10g076740
Epidermis,Solyc10g077060
Epidermis,Solyc10g077090
Epidermis,Solyc10g078470
Epidermis,Solyc10g079250
Epidermis,Solyc10g079290
Epidermis,Solyc10g079310
Epidermis,Solyc10g080130
Epidermis,Solyc10g080280
Epidermis,Solyc10g080510
Epidermis,Solyc10g081230
Epidermis,Solyc10g081790
Epidermis,Solyc10g082020
Epidermis,Solyc10g083300
Epidermis,Solyc10g083380
Epidermis,Solyc10g083470
Epidermis,Solyc10g084200
Epidermis,Solyc10g087013
Epidermis,Solyc10g084720
Epidermis,Solyc10g084740
Epidermis,Solyc10g084810
Epidermis,Solyc10g085170
Epidermis,Solyc10g085930
Epidermis,Solyc10g086440
Epidermis,Solyc10g086710
Epidermis,Solyc11g005580
Epidermis,Solyc11g005590
Epidermis,Solyc11g006560
Epidermis,Solyc11g006980
Epidermis,Solyc11g007570
Epidermis,Solyc11g008790
Epidermis,Solyc11g010430
Epidermis,Solyc11g010460
Epidermis,Solyc11g010620
Epidermis,Solyc11g010740
Epidermis,Solyc11g011540
Epidermis,Solyc11g011780
Epidermis,Solyc11g011800
Epidermis,Solyc11g011980
Epidermis,Solyc11g012540
Epidermis,Solyc11g012550
Epidermis,Solyc11g012570
Epidermis,Solyc11g013010
